tax	Score	N	reference
502558	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/285/GCA_000270285.1_ASM27028v1
1042156	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/305/GCA_000270305.1_ASM27030v1
311458	0.8	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/325/GCA_000270325.1_ASM27032v1
243629	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/305/GCA_000271305.1_ASM27130v1
76853	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/325/GCA_000271325.1_ASM27132v1
1354	1	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/405/GCA_000271405.2_ASM27140v2
52133	0.99	12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/235/GCA_000308235.2_ASM30823v2
365349	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/665/GCA_000271665.2_ASM27166v2
712218	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/925/GCA_000271925.1_Coraltaxon412F0487v1.0
795666	0.95	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/025/GCA_000272025.2_PBA_v2
555793	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/475/GCA_000272475.1_ASM27247v1
1096546	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/495/GCA_000272495.1_ASM27249v1
291645	0.96	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/175/GCA_000273175.1_Bact_nord_CL02T12C05_V1
291644	0.96	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/381/365/GCA_000381365.1_Bact_saly_DSM_18765_V1
111504	0.94	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/375/GCA_000273375.1_ASM27337v1
1767	1	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/125/GCA_000277125.1_ASM27712v1
1173691	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/565/GCA_000277565.1_ASM27756v1
1182762	0.98	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/605/GCA_000277605.1_ASM27760v1
712215	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/665/GCA_000277665.1_Coraltaxon335F0486v1.0
52768	0.93	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/245/GCA_000429245.1_ASM42924v1
1750	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/715/GCA_000277715.1_ASM27771v1
65123	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/795/GCA_000277795.1_ASM27779v1
1094755	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/115/GCA_000278115.1_Bart_sp_DB5-6_V1
186739	0.93	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/195/GCA_000278195.1_Bart_wash_085-0475_V1
33044	0.94	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/155/GCA_000278155.1_Bart_dosh_NCTC_12862_R18_V1
270250	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/215/GCA_000278215.1_Bart_ratt_15908_V1
291176	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/255/GCA_000278255.1_Bart_melo_K-2C_V1
373638	0.96	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/275/GCA_000278275.1_Bart_tami_Th239_V1
33046	0.9	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/295/GCA_000278295.1_Bart_tayl_8TBB_V1
1134405	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/279/145/GCA_000279145.1_ASM27914v1
52764	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/015/GCA_000280015.1_Bart_alsa_IBS_382_V1
745408	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/725/GCA_000280725.1_ASM28072v1
114687	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/865/GCA_000280865.1_ASM28086v1
1203257	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/905/GCA_000280905.1_ASM28090v1
1297742	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/925/GCA_000280925.3_ASM28092v3
1144314	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/145/GCA_000281145.1_Rhizobium.strCF142_v1.0
133453	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/175/GCA_000281175.1_ASM28117v1
141391	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/235/GCA_000281235.1_ASM28123v1
406552	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/695/GCA_000281695.1_ASM28169v1
1144307	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/715/GCA_000281715.1_ASM28171v1
1144306	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/735/GCA_000281735.1_ASM28173v1
1144312	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/035/GCA_000282035.1_CF122.fsa
1144316	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/115/GCA_000282115.1_Chryseobacterium.strCF314_v1.0
1144319	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/135/GCA_000282135.1_Herbaspirillum.strCF444_v1.0
1144323	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/175/GCA_000282175.1_Pseudomonas.strGM17_v1.0
1144708	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/315/GCA_000282315.2_Pseudomonas.strGM41_v2.0
1144332	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/375/GCA_000282375.1_Pseudomonas.strGM50_v1.0
1144333	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/395/GCA_000282395.1_GM55.fsa
1144339	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/515/GCA_000282515.1_GM80.fsa
1144321	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/555/GCA_000282555.1_Pseudomonas.strGM102_v1.0
1144342	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/575/GCA_000282575.1_Herbaspirillum.strYR522_v1.0
1144343	0.98	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/595/GCA_000282595.1_Phyllobacterium.strYR531_v1.0
1144315	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/635/GCA_000282635.1_Variovorax.strCF313_v1.0
1144318	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/655/GCA_000282655.1_Polaromonas.strCF318_v1.0
194867	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/895/GCA_000282895.1_ASM28289v1
911239	0.9	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/416/155/GCA_000416155.1_ASM41615v1
1178825	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/015/GCA_000283015.1_P735.v1.0
490759	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/275/GCA_000283275.1_ASM28327v1
693851	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/335/GCA_000283335.1_162.HSB1.1
196180	0.95	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/415/GCA_000283415.2_ASM28341v2
627192	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/515/GCA_000283515.1_ASM28351v1
748280	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/535/GCA_000283535.1_ASM28353v1
1041504	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/555/GCA_000283555.1_ASM28355v1
351091	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/575/GCA_000283575.1_ASM28357v1
35790	0.97	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/595/GCA_000283595.1_ASM28359v1
51669	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/615/GCA_000283615.1_ASM28361v1
59310	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/635/GCA_000283635.1_ASM28363v1
33970	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/975/GCA_000283975.1_ASM28397v1
1105106	0.83	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/995/GCA_000283995.1_ASM28399v1
138336	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/015/GCA_000284015.1_ASM28401v1
135487	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/035/GCA_000284035.1_ASM28403v1
33989	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/055/GCA_000284055.1_ASM28405v1
33992	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/075/GCA_000284075.1_ASM28407v1
971	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/095/GCA_000284095.1_ASM28409v1
547188	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/115/GCA_000284115.1_ASM28411v1
787	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/155/GCA_000284155.1_ASM28415v1
33991	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/175/GCA_000284175.1_ASM28417v1
35792	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/195/GCA_000284195.1_ASM28419v1
944547	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/235/GCA_000284235.1_ASM28423v1
28068	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/255/GCA_000284255.1_ASM28425v1
335659	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/275/GCA_000284275.1_ASM28427v1
1866	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/295/GCA_000284295.1_ASM28429v1
180	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1
693075	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/335/GCA_000284335.1_ASM28433v1
375	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1
1084	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/415/GCA_000284415.2_ASM28441v2
1570	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/515/GCA_000284515.1_ASM28451v1
213	0.97	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/635/GCA_000284635.1_ASM28463v1
1465754	0.95	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/455/GCA_000285455.1_ASM28545v1
1033734	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/535/GCA_000285535.1_ASM28553v1
1033739	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/555/GCA_000285555.1_ASM28555v1
1033740	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/595/GCA_000285595.1_ASM28559v1
582	1	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/435/GCA_000286435.2_ASM28643v2
651	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/215/GCA_000287215.3_ASM28721v3
1199245	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/335/GCA_000287335.1_ASM28733v1
134287	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/355/GCA_000287355.1_ASM28735v1
1217718	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/345/GCA_000292345.1_ASM29234v1
651305	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/385/GCA_000292385.1_ASM29238v1
1132836	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/525/GCA_000292525.1_ASM29252v1
91844	0.98	12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/415/GCA_000953415.1_AF-CAI.1
292	0.97	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/915/GCA_000292915.1_ASM29291v1
1111137	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/293/015/GCA_000293015.1_SspCM382v1.0
44250	0.99	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/293/805/GCA_000293805.1_ASM29380v1
1220535	0.96	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/293/845/GCA_000293845.1_ASM29384v1
1100720	0.71	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/293/865/GCA_000293865.2_ASM29386v2
1202667	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/465/GCA_000294465.1_ASM29446v1
53437	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/515/GCA_000294515.1_ASM29451v1
1157949	0.98	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/555/GCA_000294555.1_ASM29455v1
494419	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/595/GCA_000294595.1_ASM29459v1
1083	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/655/GCA_000294655.1_Pm_DSM120
89784	0.95	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/675/GCA_000294675.1_ASM29467v1
1118963	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/695/GCA_000294695.2_ASM29469v2
665099	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/775/GCA_000294775.2_ASM29477v2
29378	0.95	22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/295/715/GCA_000295715.1_ASM29571v1
579922	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/295/935/GCA_000295935.2_IndiAl02
936595	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/385/GCA_000296385.1_Clos_bact_OBRC5-5_V1
29321	0.93	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/405/GCA_000296405.1_Turi_otit_ATCC_51513_V1
626934	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/445/GCA_000296445.1_Slac_piri_YIT_12062_V1
487174	0.91	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/465/GCA_000296465.1_Barn_inte_YIT_11860_V1
33007	0.99	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/485/GCA_000296485.1_Acti_neui_BVS029A5_V1
131111	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/505/GCA_000296505.1_Acti_turi_ACS-279-V-COL4_V1
247490	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/795/GCA_000296795.1_ASM29679v1
663275	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/815/GCA_000296815.2_ASM29681v2
1203033	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/835/GCA_000296835.1_ASM29683v1
872327	0.92	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/025/GCA_000297025.1_ASM29702v1
649841	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/055/GCA_000297055.2_ASM29705v2
330	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/455/GCA_000953455.1_Ppseudo_Pac
285679	0.98	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/395/GCA_000297395.2_ASM29739v2
1210045	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/635/GCA_000297635.1_ASM29763v1
35617	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/095/GCA_000298095.1_ASM29809v1
83341	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/195/GCA_000298195.1_ASM29819v1
111564	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/215/GCA_000298215.1_ASM29821v1
168480	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/235/GCA_000298235.1_ASM29823v1
1120045	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/315/GCA_000298315.2_ASM29831v2
859653	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/095/GCA_000299095.1_ASM29909v1
744985	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/115/GCA_000299115.1_ASM29911v1
178606	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/235/GCA_000299235.1_ASM29923v1
1306787	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/335/GCA_000299335.2_ASM29933v2
1556	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/355/GCA_000299355.1_ASM29935v1
1510466	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/365/GCA_000299365.1_ASM29936v1
1229909	0.84	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/395/GCA_000299395.1_ASM29939v1
132920	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/435/GCA_000299435.1_ASM29943v1
1046117	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/575/GCA_000299575.1_ASM29957v1
875171	0.9	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/875/GCA_000299875.1_ASM29987v1
1207041	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/895/GCA_000299895.1_ASM29989v1
526216	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/935/GCA_000299935.1_ASM29993v1
385025	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/965/GCA_000299965.1_ASM29996v1
285091	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/005/GCA_000300005.1_ASM30000v1
252970	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/095/GCA_000300095.1_ASM30009v1
1252	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/135/GCA_000300135.1_ASM30013v1
1291540	0.93	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/255/GCA_000300255.2_ASM30025v2
1231180	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/335/GCA_000300335.1_ASM30033v1
721133	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/515/GCA_000300515.1_ASM30051v1
147266	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/855/GCA_000300855.1_ASM30085v1
555500	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/875/GCA_000300875.1_ASM30087v1
92645	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/975/GCA_000300975.2_HFRIS_v2
178214	0.96	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/035/GCA_000301035.1_Fack_homi_CCUG_36813_V1
137730	0.93	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/055/GCA_000301055.1_Fack_igna_CCUG_37419_V1
1015	0.94	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/075/GCA_000301075.1_Berg_zooh_ATCC_43767_V1
358220	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/535/GCA_000302535.1_ASM30253v1
497727	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/155/GCA_000303155.1_ASM30315v1
1684	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/215/GCA_000304215.1_ASM30421v1
29508	0.99	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/275/GCA_000304275.1_gls454017v1.0
187303	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/315/GCA_000304315.1_Msp_SC2
83986	0.93	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.1_Mb_MS2
249402	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/455/GCA_000304455.1_CCh_cEper1
136996	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/595/GCA_000304595.1_ASM30459v1
992012	0.91	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/755/GCA_000305755.2_ASM30575v2
1147129	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/775/GCA_000305775.1_ASM30577v1
447471	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/785/GCA_000305785.2_ASM30578v2
1131462	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/815/GCA_000305815.1_ASM30581v1
85874	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/935/GCA_000305935.1_ASM30593v1
440512	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/015/GCA_000306015.1_ASM30601v1
1193012	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/435/GCA_000306435.2_gls454068v2.0
420950	0.88	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/725/GCA_000306725.1_ASM30672v1
2252	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2
477641	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/785/GCA_000306785.1_ASM30678v1
1338	0.97	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/805/GCA_000306805.1_ASM30680v1
100901	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/885/GCA_000306885.1_ASM30688v1
28223	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/105/GCA_000307105.1_ASM30710v1
1449	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/165/GCA_000307165.1_ASM30716v1
328812	0.96	10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/395/GCA_000307395.1_Para_gold_CL02T12C30_V1
658661	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/475/GCA_000307475.1_Paraba_sp_D25_V1
28896	0	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/585/GCA_000307585.2_ASM30758v2
1208365	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/935/GCA_000307935.1_ntsars86ev1.0
1080712	0.78	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/215/GCA_000308215.1_ASM30821v1
1196322	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/845/GCA_000309845.1_Csp_Mad1.0
56957	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/885/GCA_000309885.1_ASM30988v1
864702	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/945/GCA_000309945.1_ASM30994v1
1748	1	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/065/GCA_000310065.1_ASM31006v1
305700	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/125/GCA_000310125.1_ASM31012v1
303682	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/145/GCA_000310145.2_ASM31014v2
497321	0.93	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/165/GCA_000310165.1_ASM31016v1
1249480	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/245/GCA_000310245.1_ASM31024v1
1079800	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/665/GCA_000312665.1_ASM31266v1
46234	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/705/GCA_000312705.1_ASM31270v1
28183	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/175/GCA_000313175.2_ASM31317v2
56946	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/675/GCA_000314675.2_Afip_broo_ATCC_49717_V1
1035	0.97	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/735/GCA_000314735.2_Afip_feli_felis_ATCC_53690_V1
999424	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/775/GCA_000314775.2_Strept_sp_F0441_V1
999425	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/795/GCA_000314795.2_Strept_sp_F0442_V1
516074	0.92	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/855/GCA_000314855.2_ASM31485v2
395568	0.92	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/935/GCA_000314935.1_ASM31493v1
368405	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/955/GCA_000314955.1_ASM31495v1
1128911	0.95	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/314/995/GCA_000314995.1_ASM31499v1
197222	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/015/GCA_000315015.1_ASM31501v1
