biggID,seedID,gpr_iML1515,gpr_carveme,test.cm,gpr_modelseed,test.ms,gpr_gapseq,test.gs
TTRCYCtpp,,((b0463 and b3035 and b2470) or (b0463 and b3035 and b0462)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
I2FE2ST,,(b2529 and b2528),(b2528 and b2529),TRUE,,,,
I2FE2SS2,,(b2530 and b2529),(b2529 and b3807 and b2530),FALSE,,,,
I4FE4ST,,(b2529 and b2528),(b2528 and b2529),TRUE,,,,
S4FE4ST,,(b1682 and b1681 and b1684 and b1683),(b1681 and b1682 and b1683 and b1684),TRUE,,,,
S2FE2SS2,,(b1680 and b1683 and b1681 and b1682 and b1679),((b1679 and b1681 and b1682 and b3807) or (b1679 and b1680 and b1681 and b1682 and b3807) or (b1679 and b1681 and b1682 and b1683 and b3807) or (b1679 and b1680 and b1681 and b1682 and b1683 and b3807)),FALSE,,,,
ACPPAT120,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
CPMPS,,(b0783 and b0781),(b0781 and b0783),TRUE,,,,
RFAMPtpp,,((b0463 and b3035 and b0462) or (b0463 and b3035 and b2470)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
ACOLIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
ECA4COLIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
COLIPAPabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
ACPPAT160,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
CHTBSptspp,,((b1738 and b1737 and b1736) and b2415 and b2416),b2416,FALSE,,,,
ACPPAT181,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
GLYC2Pabcpp,,(b3450 and b3453 and b3451 and b3452),((b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
I2FE2SR,,(b2529 and b2530),(b2529 and b2530),TRUE,,,,
THZPSN3,,(b0423 and b3990 and b2530 and b3992 and b4407),((b0423 and b3990 and b2530) or (b3990 and b3992 and b2530) or (b0423 and b3990 and b3992 and b2530) or (b3990 and b3992 and b2530 and b4407) or (b0423 and b3990 and b3992 and b2530 and b4407)),FALSE,,,,
PACCOAE,,(b1391 and b1388 and b1392 and b1389 and b1390),((b1389 and b1390 and b1391 and b1392) or (b1388 and b1389 and b1390 and b1391 and b1392)),FALSE,,,,
OXDHCOAT,,(b1397 and b1394),(b1394 and b1397),TRUE,,,,
O16A4COLIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
COLIPAabctex,,(b0641 and b3200 and b4262 and b3201 and b3199 and b0054 and b4261),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
ENLIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
PYROX,,(b1007 and b1012),(b1007 or (b1007 and b1012)),FALSE,,,,
BMOGDS1,,(b3857 or (b3857 and b3856)),(b3857 or (b3856 and b3857)),TRUE,,,,
MPTS,,(b0785 and b0784),(b0784 and b0785),TRUE,,,,
BMOGDS2,,((b3857 and b3856) or b3857),(b3857 or (b3856 and b3857)),TRUE,,,,
DMSOR1,rxn08354,((b1589 and b1590 and b1588 and b1587) or (b0895 and b0896 and b0894)),,,,,,
TMAOR1,rxn09313,((b0895 and b0896 and b0894) or (b1589 and b1590 and b1588 and b1587)),,,,,,
TMAOR2,rxn09315,(b0895 and b0896 and b0894),,,,,,
DMSOR2,rxn08356,(b0895 and b0896 and b0894),,,,,,
CBL1abcpp,,(b1709 and b0158 and b1711),,,,,,
CPGNtonex,rxn08250,(b1102 and (b1252 and b3005 and b3006)),,,,,,
AGt3,rxn08091,(b0572 and b0574 and b0573 and b0575),,,,,,
CPGNabcpp,rxn08245,(b0151 and b0153 and b0152),,,,,,
CBIuabcpp,,(b1711 and b0158 and b1709),,,,,,
TUNGSabcpp,rxn09333,(b0764 and b0765 and b0763),,,,,,
FECRMtonex,rxn08498,((b1252 and b3005 and b3006) and b0150),,,,,,
ADOCBLabcpp,rxn08070,(b1709 and b0158 and b1711),,,,,,
FE3HOXtonex,rxn08488,((b1252 and b3005 and b3006) and b0150),,,,,,
FHL,rxn08518,((b4079 and (b2489 and b2487 and b2485 and b2482 and b2483 and b2486 and b2490 and b2488 and b2484 and b2481)) or (b4079 and (b2722 and b2723 and b2724 and b2720 and b2721 and b2719))),,,,,,
ARBTNabcpp,rxn08143,(b0151 and b0153 and b0152),,,,,,
CUt3,,(b0572 and b0574 and b0573 and b0575),,,,,,
ALPATE160pp,rxn08119,(b1677 and b0657),,,,,,
ALPATG160pp,,(b1677 and b0657),,,,,,
FE3HOXabcpp,rxn08483,(b0151 and b0152 and b0153),,,,,,
DSBAO1,rxn08366,(b1185 and b3860),,,,,,
DSBAO2,rxn08367,(b1185 and b3860),,,,,,
DSBDR,rxn08369,((b2582 and b4136) or (b3781 and b4136)),,,,,,
TDSR1,rxn09292,(b2893 and b4136),,,,,,
TDSR2,rxn09293,(b0604 and b4136),,,,,,
NADHPO,rxn00066,(b0606 and b0605),,,,,,
S2FE2SS,,(b1680 and b1683 and b1681 and b1682 and b1679),,,,,,
SELR,,(b1589 and b1590 and b1588 and b1587),,,,,,
BWCOGDS1,,((b3857 and b3856) or b3857),,,,,,
BWCOGDS2,,((b3857 and b3856) or b3857),,,,,,
I2FE2SS,,(b2530 and b2529),,,,,,
MOGDS,,((b3857 and b3856) or b3857),,,,,,
DHBSZ3FEabcpp,,(b0588 and b0589 and b0590 and b0592),,,,,,
2DGLCptspp,,(b2415 and b1817 and b1819 and b2416 and b1818),,,,,,
23DOGULNt4pp,,(b3577 and b3579 and b3578),,,,,,
4ABZGLUH,,(b1337 and b1338),,,,,,
SELabcpp,,((b2423 and b2422 and b2425 and b2424) or (b2423 and b2422 and b3917 and b2424)),,,,,,
PUACGAMtr,,(b1021 and b1022),,,,,,
AI2abcpp,,(b1516 and b1513 and b1515 and b1514),,,,,,
4HBZt3pp,,(b3240 and b3241),,,,,,
PUACGAMS,,(b1021 and b1022),,,,,,
CBL1tonex,,((b1252 and b3005 and b3006) and b3966),,,,,,
CBItonex,,((b1252 and b3005 and b3006) and b3966),,,,,,
ADOCBLtonex,rxn08071,((b1252 and b3005 and b3006) and b3966),,,,,,
ARMEPNS,,(b4096 and b4100 and b4099 and b4101),,,,,,
MEPNabcpp,,(b4104 and b4105 and b4106),,,,,,
SLNTabcpp,,((b2423 and b2422 and b2425 and b2424) or (b2423 and b2422 and b3917 and b2424)),,,,,,
VALt3pp,,((b2683 and b2682) or b4141),,,,,,
